dataset;model;id_col;success_at_1;success_at_3;top1_errors;top3_errors;test_accuracy;test_precision;test_recall;test_f1;test_roc_auc;n_test_groups;n_test_rows
final_trainset.csv;catboost;child_id;0.6585365853658537;1.0;56.0;0.0;0.49330357142857145;0.48739495798319327;0.5248868778280543;0.5054466230936819;0.4838439611696932;164.0;448.0
final_trainset.csv;lightgbm;child_id;0.6585365853658537;1.0;56.0;0.0;0.49776785714285715;0.49173553719008267;0.5384615384615384;0.5140388768898488;0.4828871568959675;164.0;448.0
final_trainset.csv;xgboost;child_id;0.6585365853658537;1.0;56.0;0.0;0.5044642857142857;0.4977168949771689;0.49321266968325794;0.4954545454545455;0.5011063049414954;164.0;448.0
final_trainset.csv;rf;child_id;0.6341463414634146;1.0;60.0;0.0;0.49330357142857145;0.4868421052631579;0.502262443438914;0.49443207126948774;0.4915581956266071;164.0;448.0
final_basic_trainset_fixed.csv;catboost;child_id;0.9459459459459459;1.0;4.0;0.0;0.998738797271216;0.6666666666666666;0.21621621621621623;0.32653061224489793;0.9182997079403302;74.0;52331.0
final_basic_trainset_fixed.csv;lightgbm;child_id;0.7297297297297297;1.0;20.0;0.0;0.9965985744587338;0.13380281690140844;0.25675675675675674;0.17592592592592593;0.7826617305634471;74.0;52331.0
final_basic_trainset_fixed.csv;xgboost;child_id;0.9054054054054054;1.0;7.0;0.0;0.9987005790067073;0.5833333333333334;0.28378378378378377;0.38181818181818183;0.9153237714435257;74.0;52331.0
final_basic_trainset_fixed.csv;rf;child_id;0.9864864864864865;1.0;1.0;0.0;0.9985285968164186;0.46808510638297873;0.2972972972972973;0.36363636363636365;0.7955322421566178;74.0;52331.0
final_hybrid_sbert_trainset_100pct.csv;catboost;child_id;0.9864864864864865;1.0;1.0;0.0;0.9989681068582675;0.7941176470588235;0.36486486486486486;0.5;0.9601244421412054;74.0;52331.0
final_hybrid_sbert_trainset_100pct.csv;lightgbm;child_id;0.8783783783783784;1.0;9.0;0.0;0.9965030287974623;0.14838709677419354;0.3108108108108108;0.20087336244541484;0.8067411374863007;74.0;52331.0
final_hybrid_sbert_trainset_100pct.csv;xgboost;child_id;0.8783783783783784;1.0;9.0;0.0;0.9984712694196557;0.45161290322580644;0.3783783783783784;0.4117647058823529;0.885118197018995;74.0;52331.0
final_hybrid_sbert_trainset_100pct.csv;rf;child_id;1.0;1.0;0.0;0.0;0.9989489977260133;0.7714285714285715;0.36486486486486486;0.4954128440366973;0.8562464669158509;74.0;52331.0
